image_name,tags,augment
train_4575,agriculture clear primary road,"[3,1]"
train_6994,clear primary,"[3,1]"
train_39929,agriculture clear primary road,"[3,1]"
train_1762,agriculture clear cultivation primary,"[2,0]"
train_29371,haze primary water,"[2,0]"
train_1095,agriculture partly_cloudy primary,"[2,1]"
train_14449,habitation partly_cloudy primary road,"[1,0]"
train_2864,haze primary,"[1,1]"
train_7813,agriculture clear primary,"[2,1]"
train_18586,partly_cloudy primary,"[1,1]"
train_18121,partly_cloudy primary,"[3,0]"
train_774,partly_cloudy primary,"[2,1]"
train_15792,clear cultivation primary,"[3,1]"
train_10820,clear primary,"[3,0]"
train_32697,agriculture habitation partly_cloudy primary road,"[2,1]"
train_4810,agriculture clear primary road,"[2,0]"
train_26838,haze primary,"[1,1]"
train_13723,clear primary water,"[1,1]"
train_2848,partly_cloudy primary,"[3,0]"
train_9119,agriculture clear primary road water,"[2,1]"
train_32200,partly_cloudy primary water,"[1,1]"
train_37345,clear primary,"[3,0]"
train_29238,agriculture clear habitation primary road,"[1,0]"
train_28914,partly_cloudy primary,"[1,1]"
train_32062,agriculture cultivation habitation partly_cloudy primary road,"[3,0]"
train_30999,bare_ground clear,"[3,0]"
train_12197,clear primary water,"[2,0]"
train_23025,blow_down clear cultivation habitation primary,"[2,1]"
train_32217,clear primary,"[2,1]"
train_13609,agriculture clear primary,"[1,1]"
train_33044,clear cultivation primary,"[1,0]"
train_36887,clear primary,"[2,1]"
train_16558,clear primary,"[1,0]"
train_23409,clear primary,"[2,0]"
train_32627,agriculture clear primary,"[2,0]"
train_33212,agriculture clear primary,"[1,0]"
train_15807,clear primary water,"[2,0]"
train_39072,agriculture clear primary water,"[1,0]"
train_38242,clear primary,"[1,1]"
train_7317,agriculture clear habitation primary road,"[1,0]"
train_583,clear primary,"[2,0]"
train_25913,partly_cloudy primary,"[1,1]"
train_2614,agriculture clear cultivation habitation primary road,"[2,0]"
train_30045,clear primary,"[3,0]"
train_9729,haze primary,"[1,0]"
train_10696,cultivation partly_cloudy primary,"[1,1]"
train_34363,clear primary,"[2,1]"
train_6995,partly_cloudy primary,"[1,0]"
train_20547,clear primary,"[2,0]"
train_30850,clear primary,"[2,0]"
train_16054,agriculture clear,"[3,1]"
train_13036,clear primary,"[3,1]"
train_9270,agriculture clear cultivation primary,"[3,1]"
train_24606,agriculture partly_cloudy primary road,"[3,0]"
train_2538,clear primary water,"[3,1]"
train_39752,partly_cloudy primary,"[1,1]"
train_4156,clear primary,"[3,0]"
train_36848,clear primary road water,"[3,0]"
train_35706,cultivation partly_cloudy primary,"[2,0]"
train_2299,agriculture clear cultivation habitation primary,"[3,1]"
train_18231,agriculture habitation partly_cloudy primary road,"[2,0]"
train_38150,agriculture clear cultivation primary water,"[3,1]"
train_17358,agriculture clear primary,"[3,1]"
train_24542,haze primary,"[1,1]"
train_9657,agriculture clear primary road water,"[1,0]"
train_21463,clear primary,"[3,1]"
train_26840,clear primary water,"[3,0]"
train_18984,agriculture clear primary road water,"[1,1]"
train_12943,agriculture clear primary road water,"[3,0]"
train_17823,clear primary,"[1,1]"
train_36711,clear primary,"[2,1]"
train_35194,agriculture habitation partly_cloudy primary road,"[3,0]"
train_19390,agriculture clear primary road,"[1,0]"
train_6402,clear primary,"[3,0]"
train_10904,agriculture clear habitation primary road water,"[3,1]"
train_9024,clear primary,"[3,1]"
train_10093,haze primary,"[1,0]"
train_10361,clear primary,"[3,1]"
train_7465,agriculture partly_cloudy primary road,"[2,1]"
train_14566,haze primary,"[1,1]"
train_4959,blooming clear primary,"[1,1]"
train_10378,clear primary,"[3,0]"
train_19504,cloudy,"[1,1]"
train_18662,agriculture clear cultivation primary,"[2,0]"
train_38883,partly_cloudy primary,"[2,1]"
train_4371,clear primary,"[3,0]"
train_10477,clear primary water,"[2,1]"
train_9396,clear primary,"[3,0]"
train_32903,agriculture clear cultivation primary water,"[3,0]"
train_25126,clear primary,"[1,0]"
train_16631,clear primary,"[3,1]"
train_13834,partly_cloudy primary water,"[3,0]"
train_18689,clear primary,"[2,0]"
train_952,partly_cloudy primary water,"[1,1]"
train_38234,clear primary,"[3,1]"
train_23034,clear primary,"[2,0]"
train_2124,agriculture clear primary,"[2,0]"
train_10574,clear primary,"[1,1]"
train_17368,clear primary,"[2,1]"
train_6528,agriculture clear primary road water,"[1,1]"
train_4385,clear primary,"[3,1]"
train_33858,partly_cloudy primary water,"[2,1]"
train_31162,clear primary,"[3,1]"
train_3428,clear primary,"[1,0]"
train_15559,agriculture clear cultivation habitation primary road,"[2,1]"
train_1016,clear primary road,"[3,0]"
train_8011,agriculture clear primary road water,"[1,0]"
train_12758,clear primary,"[3,0]"
train_32371,partly_cloudy primary road,"[3,0]"
train_28979,agriculture haze primary,"[3,1]"
train_28269,clear primary,"[3,1]"
train_22098,blooming clear primary,"[1,1]"
train_15279,agriculture haze primary,"[1,0]"
train_16068,clear primary,"[1,0]"
train_38355,clear primary,"[1,0]"
train_17488,agriculture clear primary,"[3,1]"
train_39376,partly_cloudy primary,"[2,1]"
train_27009,artisinal_mine clear primary,"[3,1]"
train_39162,agriculture clear primary road,"[3,0]"
train_20262,bare_ground clear primary road,"[3,1]"
train_37090,clear cultivation primary,"[1,1]"
train_28822,haze primary,"[3,1]"
train_28428,agriculture clear primary,"[1,0]"
train_11186,agriculture clear primary road,"[2,0]"
train_31064,clear primary,"[1,0]"
train_19039,partly_cloudy primary,"[2,1]"
train_11468,agriculture clear primary,"[3,1]"
train_32374,partly_cloudy primary,"[3,1]"
train_13672,agriculture clear cultivation primary road water,"[1,1]"
train_26204,clear primary,"[3,1]"
train_2990,clear primary,"[2,1]"
train_11911,clear primary,"[3,0]"
train_35715,bare_ground clear habitation primary,"[2,1]"
train_30672,clear primary water,"[1,1]"
train_29257,clear primary,"[3,1]"
train_9693,clear primary,"[3,0]"
train_16493,partly_cloudy primary,"[2,0]"
train_37612,agriculture clear cultivation habitation primary water,"[3,1]"
train_19953,partly_cloudy primary,"[2,1]"
train_39107,clear primary,"[1,1]"
train_38219,clear primary,"[2,1]"
train_11147,clear primary,"[1,1]"
train_12831,clear primary,"[1,1]"
train_7399,agriculture clear habitation primary water,"[1,0]"
train_8173,agriculture bare_ground clear primary water,"[3,0]"
train_26223,blow_down clear primary,"[1,1]"
train_33548,agriculture clear primary road,"[3,1]"
train_33359,clear primary,"[2,0]"
train_29410,clear primary,"[1,1]"
train_33753,agriculture partly_cloudy primary road,"[2,1]"
train_25780,agriculture partly_cloudy primary road,"[3,0]"
train_22250,cloudy,"[2,1]"
train_15757,agriculture habitation partly_cloudy primary road water,"[3,1]"
train_19640,clear primary,"[3,1]"
train_4133,cloudy,"[3,1]"
train_14628,clear primary,"[1,0]"
train_21854,agriculture clear cultivation primary,"[1,0]"
train_6787,clear primary,"[2,1]"
train_18736,agriculture clear cultivation primary water,"[1,0]"
train_28437,clear primary,"[1,1]"
train_39471,clear primary,"[2,1]"
train_16542,clear primary water,"[3,1]"
train_12732,clear primary blooming,"[3,0]"
train_16267,agriculture clear primary,"[3,0]"
train_7861,agriculture partly_cloudy primary,"[2,1]"
train_34268,partly_cloudy primary,"[3,1]"
train_13851,agriculture cultivation partly_cloudy primary road water,"[3,0]"
train_20959,clear primary road water,"[3,1]"
train_11892,agriculture clear habitation primary water,"[1,0]"
train_15560,haze primary,"[2,1]"
train_32392,clear primary,"[1,0]"
train_31129,cloudy,"[2,0]"
train_26716,clear primary,"[3,0]"
train_6899,agriculture clear habitation primary road,"[3,1]"
train_37407,clear primary,"[3,0]"
train_35043,agriculture clear primary,"[1,1]"
train_25621,agriculture clear cultivation primary road,"[3,0]"
train_15274,clear water,"[2,0]"
train_30753,agriculture clear cultivation primary water,"[3,1]"
train_35510,agriculture clear cultivation habitation primary road,"[3,0]"
train_27249,clear primary,"[2,0]"
train_365,partly_cloudy primary,"[1,0]"
train_12620,clear primary selective_logging,"[3,1]"
train_18256,partly_cloudy primary,"[2,1]"
train_31120,clear primary,"[3,1]"
train_127,clear primary,"[1,0]"
train_19544,agriculture clear habitation primary road,"[3,0]"
train_33344,clear cultivation primary water,"[3,0]"
train_21271,agriculture clear habitation primary road,"[3,1]"
train_31283,agriculture clear habitation primary road,"[2,1]"
train_29335,partly_cloudy primary road water,"[2,0]"
train_11582,partly_cloudy primary,"[2,1]"
train_13701,haze primary,"[1,0]"
train_37765,agriculture partly_cloudy primary,"[1,1]"
train_30172,agriculture partly_cloudy primary road water,"[2,0]"
train_11731,bare_ground clear primary,"[3,1]"
train_1581,agriculture clear cultivation primary,"[2,0]"
train_20310,cloudy,"[1,0]"
train_9506,agriculture clear primary,"[1,1]"
train_36745,agriculture clear primary road,"[2,1]"
train_39525,partly_cloudy primary water,"[1,1]"
train_4954,agriculture clear primary road water,"[1,0]"
train_37055,agriculture clear primary,"[2,0]"
train_4592,cloudy,"[1,1]"
train_36879,clear primary,"[3,0]"
train_23956,clear primary,"[1,1]"
train_30681,haze primary,"[2,0]"
train_18680,agriculture clear cultivation primary,"[2,1]"
train_37199,blooming clear primary,"[3,1]"
train_39779,clear primary,"[3,0]"
train_20908,agriculture clear cultivation primary water,"[2,1]"
train_11386,clear primary road water,"[2,1]"
train_4113,clear primary road,"[1,0]"
train_26976,clear habitation primary road water,"[1,0]"
train_19881,agriculture clear primary road,"[1,0]"
train_7822,agriculture clear cultivation primary,"[3,0]"
train_6916,clear cultivation primary slash_burn,"[1,1]"
train_27781,agriculture cultivation partly_cloudy primary,"[3,0]"
train_30267,agriculture artisinal_mine partly_cloudy primary water,"[1,1]"
train_13784,clear primary,"[2,1]"
train_8457,haze primary,"[1,1]"
train_32035,partly_cloudy primary,"[2,1]"
train_24832,haze primary,"[1,1]"
train_39889,clear primary,"[3,1]"
train_31126,clear primary,"[2,0]"
train_33171,clear primary,"[2,1]"
train_3455,clear primary,"[3,0]"
train_16233,clear primary,"[1,1]"
train_140,clear primary,"[2,1]"
train_6354,partly_cloudy primary,"[2,1]"
train_19964,agriculture clear cultivation primary,"[3,1]"
train_3263,haze primary,"[3,0]"
train_18364,agriculture clear habitation primary road,"[1,0]"
train_28463,cloudy,"[1,1]"
train_332,haze primary,"[2,0]"
train_3276,agriculture partly_cloudy primary road,"[2,0]"
train_11991,partly_cloudy primary,"[1,0]"
train_20109,clear primary,"[3,1]"
train_32523,clear primary,"[2,0]"
train_10598,cloudy,"[1,1]"
train_74,agriculture partly_cloudy primary road,"[2,0]"
train_39972,clear primary,"[1,1]"
train_10100,clear primary water,"[3,0]"
train_12566,clear primary,"[3,1]"
train_33225,clear primary,"[3,1]"
train_13665,agriculture partly_cloudy primary,"[3,1]"
train_19379,clear primary,"[3,1]"
train_6860,agriculture partly_cloudy primary road,"[1,0]"
train_29433,agriculture clear primary road water,"[1,1]"
train_4462,agriculture clear primary,"[3,0]"
train_27958,clear primary,"[2,0]"
train_7215,agriculture clear primary water,"[1,1]"
train_3024,clear primary,"[1,0]"
train_12394,agriculture clear road,"[3,0]"
train_26289,partly_cloudy primary,"[3,0]"
train_15884,clear primary,"[1,0]"
train_37977,bare_ground clear habitation road,"[1,0]"
train_30852,clear habitation primary,"[3,0]"
train_18131,agriculture clear cultivation primary,"[3,0]"
train_31210,clear primary,"[2,0]"
train_9612,agriculture clear cultivation primary,"[3,0]"
train_12710,clear primary water,"[1,1]"
train_13723,clear primary water,"[2,1]"
train_26698,partly_cloudy primary water,"[2,0]"
train_567,agriculture clear cultivation primary,"[2,0]"
train_26751,partly_cloudy primary,"[3,1]"
train_6631,partly_cloudy primary,"[3,1]"
train_38484,bare_ground clear,"[3,1]"
train_29062,clear primary,"[1,0]"
train_19406,agriculture clear habitation primary road,"[1,1]"
train_40242,agriculture clear primary,"[3,1]"
train_21517,partly_cloudy primary,"[2,1]"
train_31938,bare_ground clear primary,"[2,0]"
train_23326,clear primary,"[2,1]"
train_39710,clear primary,"[3,1]"
